category,question,answer
Shipping,How long does delivery take?,"Standard delivery takes 3-5 business days from the date of shipment. Express shipping options are available at checkout for 1-2 business day delivery. You'll receive a tracking number via email once your order ships."
Shipping,Do you ship internationally?,"Yes, we ship to Canada, UK, Australia, and select European countries. International shipping rates and delivery times vary by destination. Customs fees and import duties are the responsibility of the customer."
Shipping,Where is my order?,"You can track your order using the tracking number sent to your email. Log into your account to view order status, or enter your order number on our tracking page. If your tracking hasn't updated in 48 hours, please contact support."
Returns,Can I return an opened item?,"Yes, opened items can be returned within 30 days if you're not satisfied. Items must be in resellable condition with all original accessories. Some exclusions apply to personal care and hygiene products."
Returns,How do I start a return?,"Log into your account and go to Order History. Select the item you wish to return and follow the prompts. You'll receive a prepaid return label via email. Drop off at any UPS location."
Returns,When will I get my refund?,"Refunds are processed within 5-7 business days after we receive and inspect your return. Credit card refunds may take an additional 3-5 days to appear on your statement depending on your bank."
Products,Are your products authentic?,"Yes, all our products are 100% authentic and sourced directly from manufacturers or authorized distributors. We never sell counterfeit or gray market items. All items come with original packaging and warranty."
Products,Do you offer price matching?,"We offer price matching on identical items from major competitors. Submit a price match request through our support portal with proof of the competitor's current price. Excludes marketplace sellers and clearance items."
Account,I forgot my password,"Click 'Forgot Password' on the login page and enter your email address. You'll receive a reset link within a few minutes. Check your spam folder if you don't see it. Links expire after 24 hours."
Account,How do I delete my account?,"To delete your account, go to Account Settings > Privacy > Delete Account. This action is permanent and will remove all order history. Allow 30 days for complete data removal from our systems."
